\s+login authentication (default|.?);1;;
^aaa accounting commands 15;1;;
^aaa accounting connection .+;1;;
aaa accounting exec .+;1;;
aaa accounting network .+;1;;
aaa accounting system .+;1;;
aaa authentication enable (default |) group .+;1;;
aaa authentication login (default | \w+) local-case;1;;
^aaa authentication login (default|\w+) group \w+;1;;
aaa new-model;1;;
^ip (radius|tacacs) source-interface loopback \d+;1;;
^no cdp run;1;;
clock timezone (UTC|GMT) 0;1;;
^service dhcp$;0;;
^\s+ip directed-broadcast;0;;
^ip (domain-name|domain\sname) .+;1;;
^\s+password 5 .?;1;;
username\s+.+(|password 5);0;;
^banner exec \w+;1;;
^ntp server .+;1;;
^hostname .+;1;;
^ip http server;0;;
^\s+ip proxy-arp;0;;
^no ip source-route;1;;
^key chain \w+;1;;
\s+key \d+;1;;
\s+key-string \d \w+;1;;
^username .+$;0;;
^username \S+ password \d \S+;1;;
username \S+(secret 0| password 5) .+;1;;
^banner login \w+;1;;
^logging buffered \d+;1;;
^logging source-interface loopback \d+;1;;
^logging host \d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3};1;;
^interface Loopback \d+;1;;
logging trap .+ .+;1;;
^banner motd \w+;1;;
^ntp authenticate;1;;
^ntp authentication-key \d md5 \w+;1;;
^ntp server (\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}|\w+) key \d+ \w+;1;;
^ntp source loopback \d+;1;;
^ntp trusted-key \d+;1;;
^service pad$;0;;
^service password-encryption;1;;
^snmp-server;0;;
snmp-server community .+ (RW|rw);0;;
^snmp-server group \w+ v3 priv;1;;
^snmp-server user \w+ \w+ v3  auth sha \w+ priv aes 256 \w+ \w+;1;;
snmp-server community public;0;;
snmp-server community private;0;;
^snmp-server enable traps .+;0;;
snmp-server host \d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3} \w+ snmp;1;;
^ip ssh (timeout|time-out) /d+;1;;
^ip ssh version 2;1;;
^clock summer-time;0;;
^enable secret 5 .+;1;;
^tftp-server;0;;
^ip tftp source-interface loopback \d+;1;;
\s+exec-timeout (?!1[1234567890]);0;;
^interface (Tunnel|tunnel);0;;
^enable password;0;;
\s+access-class .+;1;;
^\s+transport input ssh;1;;
